season,posteam,adot,pct_top_route,top_route
2022,ARI,6.492355,,
2022,ATL,9.466102,,
2022,BAL,8.222591,,
2022,BUF,8.692708,,
2022,CAR,6.9669423,,
2022,CHI,8.0,,
2022,CIN,6.8350515,,
2022,CLE,7.374582,,
2022,DAL,7.1936417,,
2022,DEN,7.747875,,
2022,DET,6.1706486,,
2022,GB,7.318792,,
2022,HOU,7.214765,,
2022,IND,5.966443,,
2022,JAX,6.4470587,,
2022,KC,6.8401637,,
2022,LA,7.3108616,,
2022,LAC,5.936916,,
2022,LV,8.724458,,
2022,MIA,9.3020525,,
2022,MIN,7.0901637,,
2022,NE,6.318182,,
2022,NO,8.446281,,
2022,NYG,6.3974357,,
2022,NYJ,7.724458,,
2022,PHI,8.542614,,
2022,PIT,7.399417,,
2022,SEA,7.1776505,,
2022,SF,7.2955976,,
2022,TB,6.59542,,
2022,TEN,7.6653543,,
2022,WAS,7.9141793,,
2023,ARI,6.5057917,0.1746031746031746,HITCH/CURL
2023,ATL,8.508143,0.17845117845117844,QUICK OUT
2023,BAL,7.5709877,0.1962025316455696,HITCH/CURL
2023,BUF,8.058666,0.19618528610354224,HITCH/CURL
2023,CAR,7.093863,0.21323529411764705,QUICK OUT
2023,CHI,7.299578,0.25327510917030566,QUICK OUT
2023,CIN,5.663889,0.2112676056338028,QUICK OUT
2023,CLE,8.106509,0.1926605504587156,HITCH/CURL
2023,DAL,7.8686867,0.19727891156462585,QUICK OUT
2023,DEN,5.609091,0.19248826291079812,SCREEN
2023,DET,7.1666665,0.17732558139534885,IN/DIG
2023,GB,7.9183674,0.2326283987915408,QUICK OUT
2023,HOU,8.656535,0.19047619047619047,QUICK OUT
2023,IND,6.8715596,0.19873817034700317,QUICK OUT
2023,JAX,7.3960395,0.21428571428571427,QUICK OUT
2023,KC,6.367713,0.22706422018348624,HITCH/CURL
2023,LA,7.140805,0.1945288753799392,QUICK OUT
2023,LAC,7.0817943,0.18867924528301888,HITCH/CURL
2023,LV,7.0740743,0.16923076923076924,HITCH/CURL
2023,MIA,7.6360655,0.16498316498316498,SCREEN
2023,MIN,7.038348,0.22727272727272727,QUICK OUT
2023,NE,6.327922,0.19063545150501673,SCREEN
2023,NO,7.2396164,0.19805194805194806,QUICK OUT
2023,NYG,6.769565,0.25229357798165136,QUICK OUT
2023,NYJ,6.0571427,0.21212121212121213,QUICK OUT
2023,PHI,8.116959,0.1901840490797546,HITCH/CURL
2023,PIT,6.996678,0.21575342465753425,QUICK OUT
2023,SEA,6.391549,0.20699708454810495,QUICK OUT
2023,SF,8.286586,0.1829652996845426,IN/DIG
