season,team,cluster,pc1,pc2,pct_under_center,pct_top_personnel,rush_rate,pa_personnel_match,disguise_entropy,outside_run_rate,pa_boot_rate,motion_rate,designed_qb_run_rate,rpo_rate,no_huddle_rate
2022,ARI,2,3.5997,0.1818,0.1313,0.5981,0.4239,0.8277,0.8912,0.4208,0.1096,0.3442,0.0599,0.0828,0.3442
2022,ATL,5,-1.0218,3.93,0.2576,0.3098,0.5673,0.9061,0.8188,0.7968,0.2414,0.5219,0.0488,0.0539,0.1414
2022,BAL,1,0.325,1.4642,0.1157,0.3546,0.503,0.9167,0.8544,0.5232,0.198,0.5015,0.0846,0.0475,0.0371
2022,BUF,3,1.8747,-0.7662,0.2729,0.6929,0.4,0.7929,0.9217,0.4664,0.1667,0.4054,0.0586,0.0458,0.0974
2022,CAR,1,-0.0458,0.6107,0.5132,0.6617,0.5159,0.9514,0.9371,0.407,0.2857,0.3755,0.1182,0.0453,0.0509
2022,CHI,5,-0.4651,2.6537,0.3799,0.5493,0.5789,0.884,0.9071,0.606,0.2651,0.4314,0.102,0.038,0.0364
2022,CIN,3,2.7229,-3.6705,0.1382,0.8925,0.3425,0.8989,0.8567,0.3858,0.0484,0.2152,0.0215,0.0681,0.017
2022,CLE,5,-0.8697,1.5221,0.4636,0.5426,0.4977,0.8529,0.8409,0.608,0.3373,0.4193,0.0341,0.0311,0.0916
2022,DAL,1,-0.3037,0.885,0.4628,0.6089,0.4905,0.911,0.8926,0.5286,0.2783,0.4181,0.0365,0.0311,0.1353
2022,DEN,1,1.1097,0.3679,0.3973,0.4986,0.45,0.8259,0.9077,0.4601,0.2447,0.3437,0.0216,0.0595,0.0487
2022,DET,4,-0.7289,0.2199,0.5061,0.6021,0.4643,0.8571,0.8881,0.5469,0.2245,0.4878,0.007,0.028,0.035
2022,GB,1,0.7421,0.317,0.3299,0.5214,0.4386,0.9428,0.9351,0.5927,0.1942,0.4384,0.0051,0.0822,0.0154
2022,HOU,1,0.367,0.9155,0.4579,0.4628,0.4798,0.7921,0.9079,0.4704,0.1782,0.356,0.0533,0.0243,0.0566
2022,IND,3,1.46,-1.0225,0.2919,0.7464,0.4561,0.9253,0.858,0.4059,0.1711,0.2937,0.0191,0.0594,0.1284
2022,JAX,1,0.9608,-0.1571,0.2734,0.6359,0.4409,0.8457,0.8739,0.5093,0.2159,0.459,0.0445,0.0603,0.0587
2022,KC,3,2.2285,-1.0124,0.1916,0.552,0.3549,0.7812,0.8582,0.5122,0.2427,0.4975,0.0063,0.117,0.0038
2022,LA,4,-0.7745,-0.855,0.5598,0.9275,0.4531,0.9784,0.8818,0.5408,0.3571,0.4855,0.0379,0.0634,0.0634
