,z_c0,z_c1,z_c2,z_c3,z_c4,raw_mean_c0,raw_mean_c1,raw_mean_c2,raw_mean_c3,raw_mean_c4,league_mean
label,"Shotgun spread, pass-first",Under-center play-action,Shotgun QB-run / RPO,"Shanahan wide-zone, two-back motion",Heavy power run + QB run,,,,,,
n,50,46,14,10,8,,,,,,
mean_silhouette,0.197,0.201,0.3,0.289,0.157,,,,,,
proe_early,0.34,-0.11,-0.05,-0.19,-1.13,0.001,-0.023,-0.014,-0.025,-0.077,-0.016
under_center,-0.27,0.87,-1.52,-0.21,-0.33,0.305,0.443,0.161,0.317,0.295,0.339
pistol,-0.28,-0.39,0.53,1.36,1.4,0.043,0.03,0.099,0.162,0.143,0.06
pers_11,0.51,-0.09,0.42,-1.23,-1.89,0.651,0.568,0.634,0.408,0.307,0.579
multi_te,-0.22,0.25,-0.13,-0.9,1.29,0.289,0.342,0.303,0.211,0.462,0.314
two_back,-0.41,-0.15,-0.39,2.02,1.55,0.054,0.095,0.058,0.409,0.344,0.115
empty_backfield,0.06,-0.24,0.12,0.7,-0.08,0.077,0.07,0.077,0.093,0.075,0.076
extra_ol,0.07,0.29,-0.41,-0.59,-0.64,0.04,0.044,0.024,0.017,0.008,0.036
motion,-0.17,-0.13,-0.55,1.97,0.3,0.502,0.492,0.476,0.722,0.524,0.514
no_huddle,-0.21,-0.2,1.93,-0.54,-0.23,0.058,0.06,0.251,0.039,0.054,0.078
outside_run,-0.41,0.07,-0.39,1.14,1.42,0.445,0.49,0.444,0.58,0.614,0.482
qb_design_run,-0.36,-0.3,1.7,-0.53,1.66,0.011,0.012,0.048,0.007,0.053,0.018
rpo,0.48,-0.64,1.05,-0.63,-0.37,0.067,0.036,0.089,0.037,0.043,0.055
play_action,-0.58,0.59,-0.2,-0.02,0.63,0.242,0.298,0.26,0.274,0.302,0.27
screen,0.18,-0.17,-0.17,0.1,0.01,0.105,0.096,0.095,0.102,0.102,0.1
qb_out_of_pocket,-0.08,-0.11,0.63,-0.87,1.12,0.183,0.18,0.223,0.145,0.241,0.187
time_to_throw,-0.55,0.62,-0.31,-0.38,0.85,2.423,2.585,2.443,2.444,2.629,2.498
rb_target_share,-0.01,-0.07,-0.52,1.07,0.07,0.177,0.176,0.154,0.227,0.182,0.178
te_target_share,-0.26,0.23,-0.26,-0.48,1.33,0.204,0.231,0.204,0.19,0.296,0.218
