,z_c0,z_c1,z_c2,z_c3,z_c4,z_c5,raw_mean_c0,raw_mean_c1,raw_mean_c2,raw_mean_c3,raw_mean_c4,raw_mean_c5,league_mean
label,Under-center play-action,"Shotgun spread, balanced",Pass-first spread,Shotgun QB-run / tempo,"Shanahan wide-zone, two-back motion",Heavy power run + QB run,,,,,,,
n,44,32,19,12,11,10,,,,,,,
mean_silhouette,0.185,0.178,0.181,0.214,0.221,0.074,,,,,,,
under_center_vs_gun,0.87,-0.18,-0.89,-1.51,0.3,-0.09,,,,,,,
dropback_play_action,0.75,-0.43,-1.0,-0.26,-0.36,0.69,,,,,,,
wide_zone_package,-0.21,-0.21,-0.59,-0.6,2.16,1.04,,,,,,,
te_heavy,0.28,-0.75,0.43,-0.07,-0.76,1.25,,,,,,,
qb_run_game,-0.33,-0.02,-0.43,1.27,-0.8,1.68,,,,,,,
tempo,-0.24,-0.04,-0.49,2.33,-0.55,-0.09,,,,,,,
pass_first,-0.09,-0.35,0.89,0.43,0.35,-1.09,,,,,,,
proe_early,-0.05,-0.2,1.1,0.2,-0.16,-1.29,-0.02,-0.026,0.04,-0.003,-0.024,-0.082,-0.016
under_center,0.86,-0.04,-0.71,-1.52,-0.14,-0.31,0.442,0.335,0.252,0.16,0.324,0.299,0.339
pistol,-0.35,-0.17,-0.43,0.42,1.2,1.07,0.033,0.05,0.034,0.088,0.154,0.122,0.06
pers_11,-0.11,0.61,0.23,0.52,-1.06,-1.35,0.564,0.663,0.614,0.65,0.432,0.383,0.579
multi_te,0.28,-0.57,0.31,-0.05,-0.88,1.04,0.346,0.248,0.349,0.309,0.215,0.434,0.314
two_back,-0.11,-0.23,-0.56,-0.58,1.83,0.99,0.1,0.082,0.032,0.029,0.379,0.264,0.115
empty_backfield,-0.09,-0.35,0.32,0.48,0.71,-0.41,0.073,0.067,0.084,0.086,0.093,0.066,0.076
extra_ol,0.19,0.14,0.08,-0.24,-0.59,-0.5,0.041,0.043,0.039,0.028,0.016,0.016,0.036
motion,-0.05,-0.27,-0.17,-0.71,1.83,0.22,0.504,0.488,0.5,0.456,0.709,0.523,0.514
no_huddle,-0.24,-0.04,-0.49,2.33,-0.55,-0.09,0.055,0.072,0.041,0.284,0.037,0.071,0.078
outside_run,0.03,-0.19,-0.6,-0.45,1.1,0.96,0.486,0.465,0.428,0.438,0.577,0.571,0.482
qb_design_run,-0.4,-0.12,-0.5,1.42,-0.52,1.93,0.01,0.016,0.008,0.044,0.008,0.056,0.018
rpo,-0.69,0.27,0.86,1.17,-0.66,-0.14,0.034,0.06,0.079,0.094,0.035,0.052,0.055
play_action,0.65,-0.38,-0.93,-0.3,-0.14,0.65,0.302,0.251,0.225,0.254,0.27,0.302,0.27
screen,-0.16,0.06,0.31,-0.25,0.17,0.01,0.096,0.102,0.109,0.094,0.104,0.102,0.1
qb_out_of_pocket,-0.17,0.09,-0.24,0.74,-0.83,0.96,0.177,0.191,0.175,0.227,0.148,0.235,0.187
time_to_throw,0.61,-0.35,-0.74,-0.16,-0.45,0.51,2.583,2.455,2.394,2.464,2.431,2.573,2.498
rb_target_share,-0.18,0.19,-0.15,-0.65,1.1,0.05,0.171,0.187,0.172,0.148,0.227,0.18,0.178
te_target_share,0.23,-0.76,0.46,-0.07,-0.49,1.19,0.231,0.174,0.245,0.214,0.19,0.289,0.218
