,z_c0,z_c1,z_c2,z_c3,z_c4,z_c5,z_c6,raw_mean_c0,raw_mean_c1,raw_mean_c2,raw_mean_c3,raw_mean_c4,raw_mean_c5,raw_mean_c6,league_mean
label,"Shotgun spread, balanced","Under-center, multi-TE play-action",Under-center 11p + motion (McVay-style),Pass-first spread (early-down PROE),Shotgun QB-run / RPO,"Shanahan wide-zone, two-back motion",Heavy power run + QB run,,,,,,,,
n,33,28,20,18,13,9,7,,,,,,,,
mean_silhouette,0.208,0.192,0.187,0.161,0.301,0.262,0.154,,,,,,,,
proe_early,-0.35,-0.41,0.47,1.23,0.13,-0.25,-1.15,-0.034,-0.039,0.007,0.048,-0.006,-0.028,-0.078,-0.016
under_center,0.13,0.8,0.77,-0.78,-1.62,-0.33,-0.59,0.356,0.432,0.434,0.243,0.148,0.305,0.267,0.339
pistol,-0.24,-0.37,-0.43,-0.37,0.58,1.57,1.71,0.042,0.033,0.032,0.04,0.103,0.173,0.158,0.06
pers_11,0.43,-0.43,0.55,0.26,0.44,-1.22,-1.82,0.639,0.523,0.65,0.619,0.639,0.409,0.317,0.579
multi_te,-0.13,0.82,-1.1,0.22,-0.11,-0.84,1.2,0.299,0.408,0.188,0.341,0.303,0.218,0.449,0.314
two_back,-0.38,-0.32,0.42,-0.54,-0.43,1.95,1.56,0.061,0.068,0.174,0.034,0.052,0.403,0.351,0.115
empty_backfield,-0.2,-0.19,-0.2,0.4,0.23,0.84,-0.27,0.071,0.072,0.07,0.086,0.081,0.096,0.07,0.076
extra_ol,-0.09,0.57,-0.09,0.28,-0.47,-0.6,-0.68,0.033,0.054,0.036,0.045,0.02,0.017,0.007,0.036
motion,-0.15,-0.28,0.41,-0.38,-0.69,1.98,0.36,0.492,0.475,0.571,0.484,0.459,0.719,0.524,0.514
no_huddle,-0.05,-0.27,-0.25,-0.37,2.1,-0.53,-0.21,0.071,0.055,0.052,0.048,0.267,0.042,0.056,0.078
outside_run,-0.11,0.18,-0.27,-0.66,-0.36,1.24,1.35,0.472,0.501,0.458,0.422,0.446,0.589,0.607,0.482
qb_design_run,-0.27,-0.25,-0.33,-0.41,1.6,-0.51,1.97,0.012,0.013,0.011,0.01,0.048,0.008,0.06,0.018
rpo,0.37,-0.68,-0.83,0.92,1.03,-0.53,-0.29,0.065,0.034,0.031,0.081,0.087,0.04,0.047,0.055
play_action,-0.25,0.53,0.26,-0.87,-0.15,0.06,0.77,0.257,0.294,0.287,0.229,0.261,0.277,0.308,0.27
screen,0.4,-0.08,-0.6,0.03,-0.17,0.29,0.03,0.11,0.1,0.082,0.101,0.096,0.107,0.102,0.1
qb_out_of_pocket,0.04,-0.11,-0.26,-0.06,0.63,-0.94,1.17,0.187,0.179,0.178,0.185,0.221,0.142,0.242,0.187
time_to_throw,-0.37,0.42,0.62,-0.59,-0.21,-0.49,0.82,2.461,2.554,2.574,2.407,2.454,2.432,2.633,2.498
rb_target_share,0.42,0.11,-0.66,-0.29,-0.6,1.15,-0.17,0.198,0.183,0.148,0.165,0.151,0.232,0.174,0.178
te_target_share,-0.75,0.63,-0.3,0.61,-0.24,-0.51,1.42,0.174,0.253,0.203,0.254,0.203,0.188,0.301,0.218
