feature,split_half_r,season_reliability,game_icc,yoy_r
proe_early,0.584,0.738,0.144,0.419
under_center,0.926,0.962,0.503,0.639
pistol_of_gun,0.876,0.934,0.468,0.548
avg_te,0.907,0.951,0.427,0.213
avg_backs,0.967,0.983,0.741,0.751
empty_backfield,0.502,0.669,0.082,0.239
extra_ol,0.88,0.936,0.338,0.36
motion,0.865,0.928,0.42,0.718
no_huddle,0.948,0.973,0.584,0.498
outside_run,0.667,0.8,0.168,0.561
qb_run_share,0.843,0.915,0.3,0.687
rpo,0.672,0.804,0.209,0.275
play_action,0.626,0.77,0.103,0.255
screen,0.46,0.63,0.076,0.176
qb_out_of_pocket,0.725,0.841,0.163,0.565
adot,0.313,0.477,0.037,0.229
deep_rate,0.097,0.177,0.012,0.196
middle_target,0.365,0.535,0.051,0.25
quick_throw,0.689,0.816,0.179,0.159
rb_target_share,0.552,0.711,0.107,0.444
te_target_share,0.728,0.843,0.157,0.321
theme_under_center_vs_gun,0.819,0.9,,0.619
theme_dropback_play_action,0.631,0.774,,0.269
theme_wide_zone_package,0.92,0.958,,0.797
theme_te_heavy,0.838,0.912,,0.254
theme_qb_run_game,0.821,0.902,,0.68
theme_tempo,0.895,0.944,,0.443
theme_pass_first,0.568,0.724,,0.348
