k,method,silhouette,silhouette_full_space,null_silhouette_mean,null_silhouette_p95,silhouette_z_vs_null,gaussian_null_mean,silhouette_z_vs_gaussian,calinski_harabasz,davies_bouldin,bootstrap_ari,min_cluster_size
2,kmeans,0.155,0.094,0.175,0.219,-0.914,0.167,-1.037,25.246,2.075,0.287,64
2,ward,0.149,0.094,0.175,0.219,-1.196,0.167,-1.582,23.295,2.159,0.219,62
2,gmm,0.211,0.109,0.175,0.219,1.624,0.167,3.866,22.554,1.865,0.447,26
3,kmeans,0.17,0.091,0.175,0.204,-0.228,0.152,1.205,26.444,1.777,0.557,18
3,ward,0.147,0.074,0.175,0.204,-1.373,0.152,-0.363,23.715,1.848,0.414,19
3,gmm,0.118,0.075,0.175,0.204,-2.786,0.152,-2.3,16.076,2.727,0.299,28
4,kmeans,0.184,0.099,0.169,0.196,0.918,0.144,4.12,25.353,1.594,0.574,13
4,ward,0.169,0.092,0.169,0.196,0.015,0.144,2.575,23.471,1.719,0.489,17
4,gmm,0.119,0.075,0.169,0.196,-2.974,0.144,-2.538,14.434,2.704,0.236,12
5,kmeans,0.19,0.104,0.169,0.202,1.128,0.14,4.718,24.187,1.482,0.499,11
5,ward,0.193,0.106,0.169,0.202,1.278,0.14,4.981,23.396,1.473,0.577,8
5,gmm,0.101,0.045,0.169,0.202,-3.641,0.14,-3.626,17.53,1.844,0.337,8
6,kmeans,0.179,0.094,0.164,0.188,0.872,0.137,4.915,24.071,1.492,0.506,10
6,ward,0.162,0.08,0.164,0.188,-0.126,0.137,2.937,22.255,1.528,0.561,8
6,gmm,0.161,0.084,0.164,0.188,-0.197,0.137,2.795,21.651,1.529,0.409,7
7,kmeans,0.175,0.088,0.162,0.182,1.037,0.142,4.665,23.409,1.449,0.504,6
7,ward,0.164,0.078,0.162,0.182,0.123,0.142,3.081,21.675,1.491,0.518,5
7,gmm,0.09,0.043,0.162,0.182,-5.794,0.142,-7.163,17.869,1.831,0.316,7
8,kmeans,0.169,0.079,0.163,0.183,0.443,0.14,3.076,22.613,1.439,0.452,3
8,ward,0.153,0.077,0.163,0.183,-0.662,0.14,1.472,21.019,1.555,0.435,5
8,gmm,0.078,0.026,0.163,0.183,-6.195,0.14,-6.561,15.453,1.711,0.264,5
9,kmeans,0.163,0.078,0.161,0.18,0.178,0.141,2.609,22.072,1.388,0.496,6
9,ward,0.134,0.062,0.161,0.18,-2.391,0.141,-0.768,20.303,1.509,0.446,5
9,gmm,0.117,0.05,0.161,0.18,-3.868,0.141,-2.708,17.835,1.536,0.324,5
10,kmeans,0.168,0.077,0.16,0.183,0.568,0.133,3.296,21.519,1.381,0.48,4
10,ward,0.142,0.068,0.16,0.183,-1.306,0.133,0.81,19.91,1.444,0.461,3
10,gmm,0.12,0.042,0.16,0.183,-2.909,0.133,-1.317,17.872,1.269,0.401,1
