,PC1,PC2,PC3,PC4,PC5
proe_early,0.235,-0.064,-0.054,0.141,0.504
under_center,-0.221,-0.428,0.285,-0.079,-0.113
pistol,-0.223,0.342,-0.279,-0.107,-0.011
pers_11,0.427,-0.172,0.035,-0.32,-0.061
multi_te,-0.173,0.227,0.278,0.478,-0.137
two_back,-0.367,0.044,-0.274,-0.069,0.226
empty_backfield,-0.003,0.124,-0.237,0.122,0.331
extra_ol,0.04,-0.15,0.173,0.25,-0.051
motion,-0.271,-0.107,-0.314,-0.179,0.106
no_huddle,0.166,0.341,0.047,-0.259,-0.09
outside_run,-0.357,0.097,-0.119,-0.099,-0.134
qb_design_run,0.015,0.452,0.099,-0.215,-0.054
rpo,0.31,0.271,-0.114,0.1,-0.205
play_action,-0.276,0.018,0.255,-0.254,-0.022
screen,0.016,0.016,-0.162,0.16,-0.501
qb_out_of_pocket,0.017,0.308,0.248,-0.094,-0.05
time_to_throw,-0.216,-0.014,0.389,-0.307,0.026
rb_target_share,-0.165,-0.123,-0.235,0.249,-0.347
te_target_share,-0.153,0.222,0.318,0.36,0.299
explained_var_ratio,0.176,0.144,0.113,0.087,0.081
eigenvalue,3.267,2.672,2.102,1.619,1.496
null_eigenvalue_p95,1.882,1.69,1.572,1.445,1.365
