section,method,k,silhouette,z_vs_strict_null,p_vs_strict_null,z_vs_gaussian_null,bootstrap_ari,min_cluster_size,gmm_bic_best_k
run,kmeans,2,0.358,5.359,0.0,11.552,0.743,18,2
run,ward,2,0.375,1.767,0.025,7.629,,16,2
run,kmeans,3,0.17,-0.504,0.6,0.667,0.459,18,2
run,ward,3,0.168,0.41,0.3,2.23,,16,2
run,kmeans,4,0.202,1.98,0.025,5.111,0.642,8,2
run,ward,4,0.176,0.695,0.3,4.079,,16,2
run,kmeans,5,0.204,1.61,0.075,4.73,0.647,8,2
run,ward,5,0.19,1.984,0.05,4.808,,8,2
run,kmeans,6,0.2,1.746,0.05,5.337,0.623,8,2
run,ward,6,0.18,1.579,0.05,5.939,,8,2
pass,kmeans,2,0.273,11.165,0.0,15.884,0.423,14,1
pass,ward,2,0.286,4.634,0.0,9.829,,12,1
pass,kmeans,3,0.119,1.022,0.125,1.175,0.586,12,1
pass,ward,3,0.125,1.929,0.075,3.855,,12,1
pass,kmeans,4,0.114,0.713,0.275,1.727,0.378,10,1
pass,ward,4,0.102,0.997,0.15,2.428,,12,1
pass,kmeans,5,0.101,-0.672,0.75,-0.274,0.386,14,1
pass,ward,5,0.112,2.391,0.025,3.9,,4,1
pass,kmeans,6,0.103,-0.146,0.625,0.692,0.358,4,1
pass,ward,6,0.077,-0.819,0.775,-0.018,,4,1
tendency,kmeans,2,0.167,-0.388,0.625,0.153,0.434,51,1
tendency,ward,2,0.379,2.656,0.075,16.713,,6,1
tendency,kmeans,3,0.173,0.311,0.35,2.05,0.396,24,1
tendency,ward,3,0.165,1.069,0.075,3.106,,6,1
tendency,kmeans,4,0.173,0.233,0.4,2.325,0.547,7,1
tendency,ward,4,0.132,0.095,0.375,0.823,,6,1
tendency,kmeans,5,0.186,1.576,0.075,2.974,0.542,7,1
tendency,ward,5,0.155,1.043,0.2,3.011,,6,1
tendency,kmeans,6,0.171,0.366,0.4,2.352,0.538,7,1
tendency,ward,6,0.143,0.633,0.325,2.078,,6,1
