section,feature,split_half_r,season_reliability,used
run,under_center_rb,0.906,0.951,True
run,pistol_of_gun_rb,0.791,0.884,True
run,avg_te_rb,0.862,0.926,True
run,avg_backs_rb,0.964,0.982,True
run,extra_ol_rb,0.873,0.932,True
run,motion_rb,0.731,0.845,True
run,outside_run,0.667,0.8,True
run,perimeter_run,0.59,0.742,False
pass,under_center_db,0.897,0.946,True
pass,pistol_of_gun_db,0.763,0.865,True
pass,avg_te_db,0.896,0.945,True
pass,avg_backs_db,0.944,0.971,True
pass,motion_db,0.857,0.923,True
pass,empty_db,0.506,0.672,True
pass,play_action,0.626,0.77,True
pass,pa_boot,0.628,0.772,True
pass,quick_throw,0.689,0.816,False
pass,rb_target_share,0.552,0.711,True
pass,te_target_share,0.728,0.843,True
pass,behind_los,0.469,0.639,False
pass,short_0_9,0.47,0.64,True
pass,intermediate_10_19,0.323,0.488,False
pass,adot,0.313,0.477,False
pass,rt_in_breaker,0.509,0.675,True
pass,rt_vertical,0.225,0.367,False
pass,rt_out,0.695,0.82,True
pass,rt_hitch,0.372,0.542,False
pass,rt_slant,0.416,0.588,False
pass,rt_flat_screen,0.685,0.813,False
tendency,pass_rate,0.546,0.706,False
tendency,proe_early,0.584,0.738,True
tendency,pass_1st10,0.385,0.556,False
tendency,pass_2nd_short,0.265,0.419,False
tendency,run_3rd_short,0.34,0.507,False
tendency,rpo_rate,0.672,0.804,True
tendency,no_huddle,0.948,0.973,True
tendency,screen_rate,0.46,0.63,True
tendency,personnel_tell,0.607,0.756,True
tendency,formation_tell,0.547,0.707,True
