season,team,cluster_k5,label_k5,silhouette_k5,runner_up_k5,margin_k5,cluster_k7,label_k7,silhouette_k7,runner_up_k7,margin_k7,PC1,PC2,PC3,PC4,PC5,proe_early,under_center,pistol,pers_11,multi_te,two_back,empty_backfield,extra_ol,motion,no_huddle,outside_run,qb_design_run,rpo,play_action,screen,qb_out_of_pocket,time_to_throw,rb_target_share,te_target_share,n_plays,n_dropbacks
2022,ARI,2,Shotgun QB-run / RPO,0.359,"Shotgun spread, pass-first",0.483,4,Shotgun QB-run / RPO,0.34,Pass-first spread (early-down PROE),0.466,3.023,3.244,-1.565,-0.049,0.036,0.0136,0.1124,0.0765,0.5971,0.3333,0.0372,0.1183,0.0097,0.3436,0.3436,0.3961,0.0583,0.0827,0.1957,0.1233,0.1233,2.435,0.1468,0.1743,618,373
2022,ATL,4,Heavy power run + QB run,0.356,"Shanahan wide-zone, two-back motion",0.546,6,Heavy power run + QB run,0.378,"Shanahan wide-zone, two-back motion",0.585,-5.045,4.188,0.265,-1.69,-0.804,-0.1297,0.2542,0.2912,0.3098,0.4428,0.3502,0.0606,0.0034,0.5219,0.1414,0.7889,0.0421,0.0539,0.4203,0.1014,0.2572,2.836,0.1653,0.3008,594,276
2022,BAL,4,Heavy power run + QB run,0.188,"Shanahan wide-zone, two-back motion",0.315,6,Heavy power run + QB run,0.198,"Shanahan wide-zone, two-back motion",0.333,-3.746,5.171,-1.086,1.538,3.34,-0.0033,0.1143,0.2683,0.1218,0.5744,0.6408,0.1203,0.0047,0.519,0.038,0.5022,0.0759,0.0506,0.2691,0.0652,0.2096,2.602,0.1354,0.3958,632,353
2022,BUF,0,"Shotgun spread, pass-first",0.239,Under-center play-action,0.37,2,Under-center 11p + motion (McVay-style),0.104,"Shotgun spread, balanced",0.234,1.082,-0.712,-0.832,-1.048,1.039,0.0691,0.2771,0.0016,0.6899,0.0775,0.2278,0.0841,0.0728,0.4016,0.0873,0.4837,0.0444,0.0444,0.2311,0.056,0.1679,2.6695,0.2385,0.1236,632,411
2022,CAR,1,Under-center play-action,0.142,"Shotgun spread, pass-first",0.263,1,"Under-center, multi-TE play-action",-0.013,"Shotgun spread, balanced",0.006,0.432,-1.104,1.796,-0.202,-1.846,-0.075,0.5047,0.0113,0.6623,0.3021,0.03,0.0471,0.075,0.3748,0.0508,0.4073,0.0169,0.0452,0.3383,0.1636,0.197,2.635,0.1281,0.1942,533,269
2022,CHI,4,Heavy power run + QB run,-0.061,Under-center play-action,0.088,6,Heavy power run + QB run,-0.084,"Under-center, multi-TE play-action",0.091,-1.291,1.842,0.966,-1.321,-1.271,-0.1133,0.3669,0.0017,0.5493,0.2566,0.222,0.076,0.0049,0.4314,0.0364,0.5685,0.0893,0.038,0.2814,0.1458,0.2847,2.736,0.1674,0.2419,608,295
2022,CIN,0,"Shotgun spread, pass-first",0.242,Shotgun QB-run / RPO,0.298,3,Pass-first spread (early-down PROE),0.214,"Shotgun spread, balanced",0.277,4.135,-1.064,-2.379,1.148,1.682,0.1105,0.1501,0.0019,0.8941,0.0892,0.0019,0.1255,0.0223,0.2341,0.0206,0.4026,0.0075,0.0712,0.1402,0.062,0.1078,2.382,0.2415,0.1579,538,371
2022,CLE,1,Under-center play-action,0.334,"Shotgun spread, pass-first",0.528,1,"Under-center, multi-TE play-action",0.352,Under-center 11p + motion (McVay-style),0.567,-1.341,-0.06,1.885,0.681,0.885,-0.0585,0.4572,0.014,0.5426,0.3597,0.1147,0.1071,0.1194,0.4193,0.0916,0.6286,0.0171,0.0311,0.2427,0.0702,0.2018,2.769,0.1538,0.3077,645,342
2022,DAL,1,Under-center play-action,0.285,"Shotgun spread, pass-first",0.67,1,"Under-center, multi-TE play-action",0.145,Under-center 11p + motion (McVay-style),0.302,-0.437,-0.476,1.332,-0.709,-0.354,-0.0745,0.4621,0.0212,0.616,0.3419,0.0497,0.0602,0.0301,0.4157,0.1416,0.5216,0.0105,0.0346,0.2977,0.0809,0.159,2.669,0.1591,0.224,664,346
2022,DEN,1,Under-center play-action,0.089,"Shotgun spread, pass-first",0.207,1,"Under-center, multi-TE play-action",0.079,"Shotgun spread, balanced",0.2,-0.146,-0.326,0.866,1.001,-1.258,-0.0365,0.3986,0.0136,0.4986,0.4662,0.0351,0.0514,0.0027,0.3437,0.0487,0.4582,0.0135,0.0595,0.2227,0.0972,0.173,2.736,0.2465,0.1983,740,422
2022,DET,1,Under-center play-action,0.201,"Shotgun spread, pass-first",0.338,1,"Under-center, multi-TE play-action",0.019,"Shotgun spread, balanced",0.037,-0.864,-2.304,0.103,0.028,-0.88,-0.0232,0.5018,0.0105,0.6,0.2522,0.1061,0.0697,0.0974,0.4861,0.0348,0.5512,0.0035,0.0279,0.3101,0.1234,0.1297,2.636,0.198,0.157,575,316
2022,GB,0,"Shotgun spread, pass-first",0.164,Under-center play-action,0.258,0,"Shotgun spread, balanced",0.27,"Under-center, multi-TE play-action",0.409,-0.397,-0.632,-1.586,0.829,-1.031,-0.027,0.3259,0.0051,0.5205,0.3515,0.1195,0.0803,0.0017,0.4376,0.0154,0.5976,0.0017,0.0821,0.3075,0.1015,0.1313,2.4435,0.2416,0.1477,586,335
