variant,theme,feature,item_rest_r,theme_alpha
themes,under_center_vs_gun_rpo,under_center,0.579,0.734
themes,under_center_vs_gun_rpo,rpo,0.579,0.734
themes,dropback_play_action,play_action,0.265,0.432
themes,dropback_play_action,time_to_throw,0.441,0.432
themes,dropback_play_action,screen,0.109,0.432
themes,wide_zone_package,two_back,0.525,0.657
themes,wide_zone_package,motion,0.416,0.657
themes,wide_zone_package,outside_run,0.505,0.657
themes,wide_zone_package,pistol,0.426,0.657
themes,wide_zone_package,rb_target_share,0.198,0.657
themes,te_heavy,multi_te,0.399,0.473
themes,te_heavy,te_target_share,0.499,0.473
themes,te_heavy,extra_ol,0.05,0.473
themes,qb_run_game,qb_design_run,0.472,0.641
themes,qb_run_game,qb_out_of_pocket,0.472,0.641
themes,pass_first,proe_early,0.248,0.398
themes,pass_first,empty_backfield,0.248,0.398
themes_refined,under_center_vs_gun_rpo,under_center,0.579,0.734
themes_refined,under_center_vs_gun_rpo,rpo,0.579,0.734
themes_refined,dropback_play_action,play_action,0.422,0.594
themes_refined,dropback_play_action,time_to_throw,0.422,0.594
themes_refined,wide_zone_package,two_back,0.525,0.657
themes_refined,wide_zone_package,motion,0.416,0.657
themes_refined,wide_zone_package,outside_run,0.505,0.657
themes_refined,wide_zone_package,pistol,0.426,0.657
themes_refined,wide_zone_package,rb_target_share,0.198,0.657
themes_refined,te_heavy,multi_te,0.602,0.752
themes_refined,te_heavy,te_target_share,0.602,0.752
themes_refined,qb_run_game,qb_design_run,0.472,0.641
themes_refined,qb_run_game,qb_out_of_pocket,0.472,0.641
themes_refined,pass_first,proe_early,0.248,0.398
themes_refined,pass_first,empty_backfield,0.248,0.398
