variant,dims,k,silhouette,copula_null_mean,silhouette_z_vs_null,silhouette_z_vs_gaussian,bootstrap_ari,yoy_same_cluster,ari_vs_model_k5,min_cluster_size
pca_19,5,3,0.191,0.181,0.521,1.896,0.452,0.646,0.639,12
pca_19,5,4,0.203,0.177,1.673,3.484,0.551,0.594,0.738,12
pca_19,5,5,0.191,0.175,1.157,2.467,0.417,0.542,0.435,12
pca_19,5,6,0.213,0.175,2.893,3.916,0.477,0.5,0.318,9
pca_19,5,7,0.219,0.181,3.604,3.784,0.538,0.49,0.34,3
pca_19,5,8,0.216,0.172,2.694,3.841,0.446,0.438,0.268,3
pca_19,5,9,0.203,0.175,2.207,2.535,0.409,0.406,0.248,3
skew_fixed,5,3,0.186,0.178,0.623,1.318,0.504,0.667,0.603,13
skew_fixed,5,4,0.198,0.177,1.779,2.385,0.522,0.562,0.642,14
skew_fixed,5,5,0.202,0.176,2.631,2.551,0.482,0.521,0.381,9
skew_fixed,5,6,0.207,0.176,2.439,3.467,0.479,0.469,0.24,9
skew_fixed,5,7,0.212,0.169,3.873,5.244,0.474,0.438,0.261,4
skew_fixed,5,8,0.205,0.171,3.604,4.18,0.469,0.458,0.287,4
skew_fixed,5,9,0.208,0.174,2.724,2.598,0.47,0.427,0.289,4
themes,7,3,0.175,0.175,0.017,1.991,0.416,0.625,0.389,25
themes,7,4,0.162,0.168,-0.35,2.178,0.405,0.635,0.747,13
themes,7,5,0.185,0.169,1.065,5.0,0.388,0.562,0.38,6
themes,7,6,0.162,0.166,-0.259,2.072,0.391,0.583,0.307,6
themes,7,7,0.163,0.161,0.151,3.069,0.401,0.417,0.392,11
themes,7,8,0.177,0.168,0.62,3.918,0.399,0.396,0.276,3
themes,7,9,0.166,0.157,0.664,2.867,0.441,0.427,0.263,3
themes_refined,7,3,0.17,0.168,0.121,1.671,0.506,0.562,0.683,18
themes_refined,7,4,0.184,0.169,0.935,4.828,0.541,0.604,0.842,13
themes_refined,7,5,0.19,0.169,1.481,5.195,0.511,0.583,1.0,11
themes_refined,7,6,0.179,0.168,1.023,3.641,0.474,0.5,0.677,10
themes_refined,7,7,0.175,0.166,0.711,3.573,0.47,0.49,0.506,6
themes_refined,7,8,0.172,0.166,0.61,4.253,0.453,0.469,0.418,6
themes_refined,7,9,0.163,0.159,0.339,2.56,0.452,0.469,0.374,6
binned_3,2,3,0.391,0.38,0.475,0.421,0.744,0.51,0.281,42
binned_3,2,4,0.371,0.375,-0.227,-0.097,0.693,0.427,0.283,28
binned_3,2,5,0.352,0.371,-1.126,-0.944,0.678,0.333,0.277,21
binned_3,2,6,0.364,0.374,-0.547,-0.568,0.626,0.281,0.25,16
binned_3,2,7,0.375,0.378,-0.144,-0.35,0.602,0.25,0.233,5
binned_3,2,8,0.37,0.366,0.26,-0.266,0.627,0.219,0.252,5
binned_3,2,9,0.366,0.366,-0.014,-0.37,0.584,0.229,0.189,5
