team,season,top_archetype,r2,w_Under-center TE motion,"w_Under-center outside, static",w_Downhill under center,w_Motion stretch,w_Gun RPO inside,w_QB-run spread,run_dir,shotgun_share,te_minus_backs,motion_rate,rpo_rate,qb_run_share,comps
ARI,2022,QB-run spread,0.97,0.041,0.0,0.0,0.0,0.438,0.521,-0.2077,0.7101,0.4444,0.401,0.1449,0.1516,"IND 2024, IND 2025, CIN 2022"
ARI,2023,"Under-center outside, static",0.81,0.106,0.499,0.0,0.0,0.0,0.395,0.0306,0.4714,0.69,0.3624,0.0655,0.1391,"PIT 2024, PHI 2025, SEA 2022"
ARI,2024,"Under-center outside, static",0.58,0.204,0.503,0.0,0.0,0.0,0.293,-0.0256,0.5436,0.9692,0.3538,0.0205,0.0845,"SEA 2022, DAL 2022, PIT 2024"
ARI,2025,"Under-center outside, static",0.91,0.0,0.958,0.0,0.0,0.0,0.042,0.1687,0.3193,0.6446,0.506,0.0301,0.0621,"CLE 2022, NO 2024, DAL 2022"
ATL,2022,Motion stretch,0.74,0.0,0.278,0.0,0.611,0.0,0.111,0.5779,0.6436,0.1592,0.5225,0.0484,0.0912,"CLE 2022, GB 2022, NYJ 2024"
ATL,2023,Motion stretch,0.81,0.0,0.416,0.0,0.584,0.0,0.0,0.5882,0.6364,0.1364,0.5942,0.0325,0.0581,"CLE 2022, NYJ 2024, GB 2022"
ATL,2024,Motion stretch,0.93,0.002,0.12,0.0,0.878,0.0,0.0,0.5463,0.7006,0.0924,0.7643,0.0414,0.0187,"MIA 2025, MIA 2023, MIA 2024"
ATL,2025,Motion stretch,0.64,0.013,0.245,0.0,0.597,0.125,0.02,0.2852,0.6957,0.5812,0.7292,0.1083,0.0107,"NYJ 2024, GB 2022, WAS 2022"
BAL,2022,QB-run spread,0.68,0.0,0.0,0.068,0.415,0.0,0.517,0.0323,0.8548,-0.2621,0.5242,0.0282,0.1869,"BUF 2022, WAS 2025, PHI 2024"
BAL,2023,QB-run spread,0.67,0.0,0.0,0.246,0.313,0.0,0.441,-0.0239,0.7081,-0.5502,0.5742,0.0766,0.1772,"BUF 2022, CHI 2022, NYJ 2025"
BAL,2024,QB-run spread,0.66,0.0,0.0,0.363,0.208,0.0,0.429,-0.0216,0.5304,-0.2078,0.5152,0.039,0.1779,"BUF 2022, CHI 2022, SF 2022"
BAL,2025,"Under-center outside, static",0.91,0.0,0.356,0.233,0.162,0.0,0.25,0.016,0.4143,0.0797,0.5538,0.0797,0.0772,"DAL 2023, NYG 2022, HOU 2022"
BUF,2022,QB-run spread,0.92,0.0,0.0,0.326,0.153,0.0,0.521,-0.0443,0.5468,-0.1626,0.4039,0.0788,0.1646,"BAL 2024, BAL 2023, BAL 2025"
BUF,2023,QB-run spread,0.87,0.0,0.0,0.291,0.0,0.287,0.422,-0.2672,0.5402,0.0382,0.3626,0.2023,0.1149,"IND 2022, NYG 2024, CLE 2024"
BUF,2024,QB-run spread,0.5,0.0,0.0,0.318,0.0,0.255,0.427,-0.1395,0.3876,0.0465,0.4419,0.1395,0.1485,"CLE 2024, NYG 2024, NYJ 2025"
BUF,2025,QB-run spread,0.47,0.349,0.011,0.277,0.004,0.0,0.36,-0.1042,0.2162,0.2819,0.6332,0.1236,0.1069,"NYG 2022, JAX 2025, NYG 2023"
CAR,2022,"Under-center outside, static",0.58,0.086,0.293,0.259,0.0,0.27,0.093,-0.1855,0.3065,0.3775,0.3414,0.0683,0.0496,"NE 2024, JAX 2024, LV 2025"
CAR,2023,Gun RPO inside,0.6,0.0,0.334,0.167,0.079,0.42,0.0,-0.1094,0.5947,0.2293,0.4699,0.109,0.0037,"WAS 2023, IND 2022, DAL 2025"
CAR,2024,Gun RPO inside,0.82,0.069,0.19,0.367,0.0,0.375,0.0,-0.2193,0.3289,0.2368,0.4518,0.0833,0.0044,"DEN 2024, NE 2024, DAL 2025"
CAR,2025,Gun RPO inside,0.88,0.104,0.189,0.063,0.0,0.644,0.0,-0.2308,0.3905,0.5839,0.5547,0.208,0.0179,"IND 2022, SEA 2024, DEN 2022"
CHI,2022,QB-run spread,0.53,0.051,0.262,0.124,0.138,0.0,0.425,0.1336,0.3831,0.0927,0.4234,0.0484,0.2,"BAL 2024, BAL 2025, NYG 2022"
CHI,2023,QB-run spread,0.72,0.091,0.321,0.0,0.129,0.0,0.459,0.1675,0.5178,0.3503,0.4822,0.1015,0.1688,"ARI 2023, NYG 2023, NYG 2022"
CHI,2024,"Under-center outside, static",0.68,0.046,0.53,0.0,0.0,0.326,0.098,0.0097,0.3932,0.4903,0.4272,0.0971,0.0679,"LAC 2022, NE 2024, TEN 2025"
CHI,2025,Under-center TE motion,0.91,0.45,0.305,0.0,0.059,0.025,0.161,0.0131,0.2443,0.671,0.658,0.0847,0.0583,"MIN 2023, NYJ 2023, DAL 2022"
CIN,2022,Gun RPO inside,0.93,0.0,0.0,0.107,0.005,0.659,0.228,-0.2043,0.6989,0.172,0.3602,0.1452,0.0558,"IND 2025, KC 2025, IND 2022"
CIN,2023,Gun RPO inside,0.95,0.0,0.0,0.0,0.0,0.975,0.025,-0.262,0.7446,0.2193,0.4706,0.3316,0.026,"IND 2023, KC 2022, KC 2025"
CIN,2024,Gun RPO inside,0.91,0.055,0.134,0.0,0.063,0.695,0.054,-0.1897,0.6821,0.4564,0.4923,0.1128,0.0201,"IND 2025, JAX 2023, KC 2025"
CIN,2025,Gun RPO inside,0.91,0.012,0.0,0.05,0.037,0.853,0.047,-0.3166,0.6131,0.3618,0.6533,0.2613,0.034,"KC 2024, IND 2025, IND 2023"
CLE,2022,"Under-center outside, static",0.92,0.024,0.736,0.0,0.18,0.0,0.06,0.2571,0.3214,0.3179,0.425,0.0429,0.0728,"DEN 2023, MIN 2025, ARI 2025"
CLE,2023,"Under-center outside, static",0.98,0.163,0.433,0.102,0.088,0.136,0.078,0.0238,0.4286,0.3412,0.5137,0.0667,0.0449,"DAL 2022, TEN 2023, NYJ 2023"
