team,cluster_name,x,y,outside,inside,uc,pistol,rush_n,sil
CHI,"Under center, outside",1.3,24.4,50.7,49.3,75.6,2.9,307,0.51
DET,"Under center, outside",9.7,19.2,54.8,45.2,80.8,0.8,260,0.59
MIN,"Under center, outside",4.5,21.6,52.3,47.7,78.4,1.8,222,0.68
SEA,"Under center, outside",0.4,19.2,50.2,49.8,80.8,4.2,265,0.46
BUF,"Under center, inside",-10.4,21.6,44.8,55.2,78.4,1.2,259,0.56
LA,"Under center, inside",-8.5,8.5,45.7,54.3,91.5,0.0,282,0.19
NE,"Under center, inside",-10.8,21.6,44.6,55.4,78.4,0.4,260,0.57
SF,"Under center, inside",-7.1,27.4,46.4,53.6,72.6,4.4,252,0.2
ARI,"Mixed, outside lean",16.9,31.9,58.4,41.6,68.1,3.6,166,0.03
BAL,"Mixed, outside lean",1.6,41.4,50.8,49.2,58.6,12.7,251,0.58
DEN,"Mixed, outside lean",8.6,34.2,54.3,45.7,65.8,6.7,269,0.25
GB,"Mixed, outside lean",-0.3,46.0,49.8,50.2,54.0,10.0,291,0.36
PIT,"Mixed, outside lean",6.8,40.2,53.4,46.6,59.8,3.8,266,0.55
TEN,"Mixed, outside lean",-2.0,41.3,49.0,51.0,58.7,4.1,196,0.41
CAR,"Mixed, inside lean",-23.1,39.1,38.5,61.5,60.9,14.2,274,0.44
CLE,"Mixed, inside lean",-17.0,37.0,41.5,58.5,63.0,3.5,254,0.58
DAL,"Mixed, inside lean",-12.5,37.3,43.8,56.2,62.7,3.9,256,0.48
HOU,"Mixed, inside lean",-25.5,34.3,37.2,62.8,65.7,0.0,274,0.5
JAX,"Mixed, inside lean",-9.1,32.7,45.5,54.5,67.3,5.0,220,0.03
LAC,"Mixed, inside lean",-11.6,42.3,44.2,55.8,57.7,7.9,215,0.36
LV,"Mixed, inside lean",-30.1,31.1,34.9,65.1,68.9,4.3,209,0.37
TB,"Mixed, inside lean",-14.9,33.9,42.6,57.4,66.1,7.3,289,0.44
CIN,"Gun lean, heavy inside",-31.7,61.3,34.2,65.8,38.7,5.5,199,0.55
IND,"Gun lean, heavy inside",-26.8,60.6,36.6,63.4,39.4,7.3,247,0.6
KC,"Gun lean, heavy inside",-14.0,55.8,43.0,57.0,44.2,5.4,242,0.15
NO,"Gun lean, heavy inside",-23.5,54.9,38.2,61.8,45.1,8.8,204,0.58
NYJ,"Gun lean, heavy inside",-17.3,51.5,41.3,58.7,48.5,8.2,196,0.34
NYG,"Gun lean, balanced direction",-0.4,60.5,49.8,50.2,39.5,16.1,249,0.68
PHI,"Gun lean, balanced direction",-1.2,60.7,49.4,50.6,39.3,12.1,247,0.7
WAS,"Gun lean, balanced direction",-9.9,69.5,45.1,54.9,30.5,32.4,213,0.34
ATL,"Gun lean, stretch outside",28.5,69.6,64.3,35.7,30.4,59.8,277,0.68
MIA,"Gun lean, stretch outside",26.3,58.6,63.1,36.9,41.4,31.3,198,0.64
