team,cluster_name,silhouette,run_dir,shotgun_share,te_minus_backs,motion_rate,z_run_dir,z_shotgun_share,z_te_minus_backs,z_motion_rate
ARI,"Under center, outside, low motion",0.215,0.169,0.319,0.645,0.506,1.578,-0.528,0.916,-1.066
BAL,"Under center, outside, low motion",0.313,0.016,0.414,0.08,0.554,0.541,0.072,-0.674,-0.578
DEN,"Under center, outside, low motion",0.405,0.086,0.342,0.119,0.558,1.013,-0.384,-0.564,-0.538
MIN,"Under center, outside, low motion",0.222,0.045,0.216,0.243,0.586,0.738,-1.177,-0.214,-0.253
NE,"Under center, outside, low motion",0.148,-0.108,0.216,0.012,0.515,-0.299,-1.177,-0.866,-0.97
SEA,"Under center, outside, low motion",0.348,0.004,0.192,0.381,0.491,0.458,-1.327,0.175,-1.224
TEN,"Under center, outside, low motion",0.189,-0.02,0.413,0.337,0.571,0.294,0.065,0.05,-0.397
BUF,"Under center, TE-heavy, motion",0.055,-0.104,0.216,0.282,0.633,-0.276,-1.177,-0.105,0.234
CHI,"Under center, TE-heavy, motion",0.278,0.013,0.244,0.671,0.658,0.521,-1.0,0.991,0.487
DET,"Under center, TE-heavy, motion",-0.062,0.097,0.192,0.496,0.619,1.088,-1.328,0.498,0.091
GB,"Under center, TE-heavy, motion",0.056,-0.003,0.46,0.392,0.667,0.409,0.363,0.204,0.576
JAX,"Under center, TE-heavy, motion",0.262,-0.091,0.327,0.309,0.691,-0.185,-0.477,-0.028,0.824
LA,"Under center, TE-heavy, motion",0.29,-0.085,0.085,0.968,0.798,-0.146,-2.004,1.827,1.916
PIT,"Under center, TE-heavy, motion",0.096,0.068,0.402,0.609,0.639,0.892,-0.004,0.816,0.294
TB,"Under center, TE-heavy, motion",0.149,-0.149,0.339,0.377,0.689,-0.579,-0.403,0.163,0.8
DAL,"Fullback, inside, motion",-0.006,-0.125,0.373,0.117,0.621,-0.417,-0.192,-0.569,0.11
HOU,"Fullback, inside, motion",0.322,-0.255,0.343,-0.142,0.624,-1.303,-0.378,-1.299,0.141
LAC,"Fullback, inside, motion",0.422,-0.116,0.423,-0.553,0.623,-0.358,0.128,-2.457,0.132
SF,"Fullback, inside, motion",0.393,-0.071,0.274,-0.448,0.722,-0.053,-0.814,-2.161,1.143
CAR,"Gun, inside, TE-heavy, static",0.254,-0.231,0.391,0.584,0.555,-1.136,-0.078,0.746,-0.568
CLE,"Gun, inside, TE-heavy, static",0.188,-0.17,0.37,0.638,0.563,-0.722,-0.207,0.897,-0.484
IND,"Gun, inside, TE-heavy, static",-0.028,-0.268,0.606,0.486,0.534,-1.391,1.278,0.469,-0.776
KC,"Gun, inside, TE-heavy, static",0.328,-0.14,0.558,0.455,0.488,-0.522,0.977,0.381,-1.254
LV,"Gun, inside, TE-heavy, static",0.249,-0.301,0.311,0.593,0.531,-1.616,-0.58,0.772,-0.809
NYG,"Gun, inside, TE-heavy, static",0.257,-0.004,0.605,0.643,0.394,0.405,1.273,0.911,-2.215
PHI,"Gun, inside, TE-heavy, static",0.266,-0.012,0.607,0.538,0.437,0.35,1.288,0.618,-1.768
CIN,"Heavy gun, heavy inside, motion",0.471,-0.317,0.613,0.362,0.653,-1.719,1.325,0.12,0.439
NO,"Heavy gun, heavy inside, motion",0.564,-0.235,0.549,0.377,0.676,-1.166,0.921,0.164,0.676
NYJ,"Heavy gun, heavy inside, motion",0.317,-0.173,0.515,0.153,0.699,-0.746,0.708,-0.468,0.906
WAS,"Heavy gun, heavy inside, motion",0.349,-0.099,0.695,0.521,0.657,-0.238,1.84,0.569,0.48
ATL,"Gun, stretch outside, heavy motion",-0.023,0.285,0.696,0.581,0.729,2.37,1.846,0.738,1.215
MIA,"Gun, stretch outside, heavy motion",0.081,0.263,0.586,-0.611,0.848,2.216,1.153,-2.619,2.434
