season,team,cluster,pc1,pc2,pct_under_center,pct_top_personnel,rush_rate,pa_personnel_match,disguise_entropy,outside_run_rate,pa_boot_rate,adot,motion_rate,designed_qb_run_rate,rpo_rate,no_huddle_rate
2022,ARI,2,3.6222,0.5522,0.1313,0.5981,0.4239,0.8277,0.8912,0.4208,0.1096,6.4924,0.3442,0.0599,0.0828,0.3442
2022,ATL,1,-1.8613,4.4434,0.2576,0.3098,0.5673,0.9061,0.8188,0.7968,0.2414,9.4661,0.5219,0.0488,0.0539,0.1414
2022,BAL,1,-0.0399,1.8481,0.1157,0.3546,0.503,0.9167,0.8544,0.5232,0.198,8.2226,0.5015,0.0846,0.0475,0.0371
2022,BUF,3,1.6058,0.2038,0.2729,0.6929,0.4,0.7929,0.9217,0.4664,0.1667,8.6927,0.4054,0.0586,0.0458,0.0974
2022,CAR,3,-0.0444,0.4394,0.5132,0.6617,0.5159,0.9514,0.9371,0.407,0.2857,6.9669,0.3755,0.1182,0.0453,0.0509
2022,CHI,1,-0.8835,2.7323,0.3799,0.5493,0.5789,0.884,0.9071,0.606,0.2651,8.0,0.4314,0.102,0.038,0.0364
2022,CIN,4,3.0636,-2.9943,0.1382,0.8925,0.3425,0.8989,0.8567,0.3858,0.0484,6.8351,0.2152,0.0215,0.0681,0.017
2022,CLE,1,-1.0299,1.3406,0.4636,0.5426,0.4977,0.8529,0.8409,0.608,0.3373,7.3746,0.4193,0.0341,0.0311,0.0916
2022,DAL,3,-0.3832,0.7853,0.4628,0.6089,0.4905,0.911,0.8926,0.5286,0.2783,7.1936,0.4181,0.0365,0.0311,0.1353
2022,DEN,3,0.9602,0.691,0.3973,0.4986,0.45,0.8259,0.9077,0.4601,0.2447,7.7479,0.3437,0.0216,0.0595,0.0487
2022,DET,0,-0.5226,-0.3135,0.5061,0.6021,0.4643,0.8571,0.8881,0.5469,0.2245,6.1706,0.4878,0.007,0.028,0.035
2022,GB,3,0.6822,0.4395,0.3299,0.5214,0.4386,0.9428,0.9351,0.5927,0.1942,7.3188,0.4384,0.0051,0.0822,0.0154
2022,HOU,3,0.2706,0.926,0.4579,0.4628,0.4798,0.7921,0.9079,0.4704,0.1782,7.2148,0.356,0.0533,0.0243,0.0566
2022,IND,4,1.7559,-1.1259,0.2919,0.7464,0.4561,0.9253,0.858,0.4059,0.1711,5.9664,0.2937,0.0191,0.0594,0.1284
2022,JAX,3,1.1064,-0.2742,0.2734,0.6359,0.4409,0.8457,0.8739,0.5093,0.2159,6.4471,0.459,0.0445,0.0603,0.0587
2022,KC,4,2.3855,-0.8108,0.1916,0.552,0.3549,0.7812,0.8582,0.5122,0.2427,6.8402,0.4975,0.0063,0.117,0.0038
2022,LA,0,-0.6829,-0.9074,0.5598,0.9275,0.4531,0.9784,0.8818,0.5408,0.3571,7.3109,0.4855,0.0379,0.0634,0.0634
2022,LAC,4,0.8023,-1.7957,0.3928,0.6379,0.3616,0.8657,0.8321,0.502,0.2597,5.9369,0.3942,0.0153,0.0557,0.0641
2022,LV,0,-1.1078,-0.7869,0.535,0.6019,0.4519,0.8247,0.767,0.3709,0.1111,8.7245,0.3947,0.0186,0.014,0.0265
2022,MIA,0,-1.4025,0.0538,0.3616,0.4025,0.4113,0.9145,0.7869,0.506,0.1716,9.3021,0.6898,0.0047,0.063,0.0268
2022,MIN,0,-0.4915,-0.4263,0.5289,0.6736,0.3772,0.893,0.8385,0.5133,0.2074,7.0902,0.3859,0.3018,0.0338,0.1527
2022,NE,4,1.0874,-2.1772,0.3601,0.7643,0.437,0.9008,0.8604,0.3494,0.0405,6.3182,0.4138,0.0115,0.0411,0.0345
2022,NO,1,-1.5211,1.3483,0.5558,0.4227,0.5216,0.7989,0.7751,0.4536,0.2037,8.4463,0.343,0.1061,0.0289,0.009
2022,NYG,3,0.8869,0.7732,0.4083,0.62,0.4829,0.8681,0.8916,0.5018,0.3645,6.3974,0.3522,0.0507,0.0627,0.1433
2022,NYJ,0,-0.5593,-0.323,0.3847,0.5682,0.4265,0.914,0.8535,0.5139,0.2469,7.7245,0.5698,0.0258,0.0519,0.0308
2022,PHI,2,3.9238,1.6945,0.0916,0.75,0.4477,0.889,0.9272,0.4836,0.2667,8.5426,0.2009,0.1017,0.1368,0.2213
2022,PIT,3,0.1085,1.0602,0.3472,0.6889,0.4806,0.8129,0.7965,0.4663,0.3134,7.3994,0.3983,0.3181,0.0585,0.0989
2022,SEA,3,0.4497,0.1149,0.357,0.4714,0.4083,0.9379,0.8518,0.4647,0.3423,7.1777,0.305,0.057,0.0418,0.1625
2022,SF,1,-1.1551,0.8561,0.37,0.3963,0.4659,0.8768,0.825,0.4897,0.2418,7.2956,0.5759,0.2198,0.0402,0.017
2022,TB,0,-0.0904,-1.7174,0.3744,0.6677,0.382,0.9174,0.8291,0.428,0.0533,6.5954,0.4729,0.2195,0.0226,0.0738
2022,TEN,1,-1.8609,1.8754,0.4957,0.4905,0.5077,0.8985,0.8423,0.5248,0.1739,7.6654,0.3821,0.4286,0.0155,0.0361
2022,WAS,3,0.0633,1.1276,0.3328,0.6411,0.5307,0.9572,0.856,0.5861,0.1412,7.9142,0.5315,0.0107,0.1091,0.0522
2023,ARI,3,0.6826,1.1187,0.341,0.5613,0.4956,0.8797,0.9361,0.5399,0.3111,6.5058,0.4067,0.069,0.0551,0.0568
2023,ATL,1,-1.5031,3.0782,0.246,0.4052,0.5043,0.806,0.842,0.7938,0.3162,8.5081,0.5919,0.0275,0.0289,0.0695
2023,BAL,3,1.0082,0.6781,0.1369,0.7077,0.4678,0.8819,0.8989,0.5219,0.3191,7.571,0.5092,0.069,0.0523,0.0754
2023,BUF,4,1.8863,-0.1375,0.2603,0.6945,0.4473,0.9439,0.9125,0.3571,0.2292,8.0587,0.4411,0.0465,0.0959,0.1027
2023,CAR,4,0.7387,-0.8938,0.2252,0.8377,0.4703,0.9682,0.8246,0.4453,0.3538,7.0939,0.4023,0.0033,0.0646,0.0579
2023,CHI,1,-0.1512,1.5684,0.2528,0.634,0.5038,0.8938,0.8771,0.616,0.4607,7.2996,0.5358,0.0752,0.066,0.0491
2023,CIN,4,3.0011,-2.768,0.135,0.7217,0.3499,0.9625,0.8386,0.3594,0.2874,5.6639,0.4267,0.0133,0.1317,0.0217
2023,CLE,3,-0.0867,0.0866,0.3425,0.708,0.4307,0.8516,0.8717,0.5171,0.4118,8.1065,0.4526,0.0198,0.0291,0.0489
2023,DAL,0,-0.1857,-0.54,0.3631,0.6204,0.3996,0.851,0.8183,0.5149,0.3438,7.8687,0.4745,0.0201,0.0511,0.0182
2023,DEN,3,0.7276,0.2595,0.4469,0.6367,0.4837,0.7357,0.8347,0.5628,0.2459,5.6091,0.3714,0.0224,0.0551,0.0816
2023,DET,0,-1.2466,-0.3512,0.4668,0.6263,0.4462,0.8963,0.8522,0.5926,0.2062,7.1667,0.5451,0.0133,0.0251,0.0325
2023,GB,3,-0.1034,0.1614,0.3363,0.5566,0.4535,0.9496,0.9196,0.4739,0.2273,7.9184,0.6275,0.0165,0.0573,0.0468
2023,HOU,0,-1.9986,0.1178,0.427,0.7834,0.4516,0.9585,0.7989,0.4891,0.4037,8.6565,0.5207,0.2565,0.02,0.0568
2023,IND,2,5.3462,0.7976,0.0983,0.7613,0.4488,0.7091,0.921,0.3978,0.25,6.8716,0.4836,0.0248,0.1919,0.1794
2023,JAX,4,1.9859,-0.0414,0.2003,0.6304,0.4389,0.7821,0.8732,0.4087,0.2738,7.396,0.4508,0.0224,0.076,0.038
2023,KC,4,1.5159,-0.8702,0.1809,0.6153,0.3964,0.8685,0.9227,0.4869,0.2549,6.3677,0.6229,0.0305,0.0726,0.0115
2023,LA,0,-1.3711,-2.3386,0.3911,0.9617,0.4227,0.9683,0.7843,0.4697,0.2895,7.1408,0.7193,0.0276,0.023,0.092
2023,LAC,3,1.0634,-0.396,0.2014,0.6643,0.4186,0.9206,0.8547,0.4808,0.2925,7.0818,0.58,0.0271,0.0743,0.15
2023,LV,0,-1.6908,-1.4269,0.5095,0.7652,0.4367,0.9612,0.8032,0.4009,0.12,7.0741,0.5644,0.3157,0.017,0.0398
2023,MIA,0,-1.8179,-1.4895,0.1879,0.7761,0.3883,0.959,0.7222,0.6477,0.2717,7.6361,0.814,0.0795,0.0474,0.0228
2023,MIN,0,-1.1173,-0.7927,0.5117,0.6019,0.4102,0.9707,0.8322,0.5356,0.2483,7.0383,0.4914,0.0573,0.0373,0.1151
2023,NE,4,0.9503,-1.2663,0.3668,0.4671,0.4302,0.9536,0.8634,0.296,0.197,6.3279,0.5132,0.0099,0.0724,0.0872
2023,NO,0,-0.5086,-0.5391,0.4013,0.5836,0.4365,0.8678,0.7539,0.4484,0.3621,7.2396,0.3344,0.0736,0.0385,0.0401
2023,NYG,3,0.6652,0.4355,0.3144,0.714,0.4755,0.8936,0.9022,0.4791,0.5068,6.7696,0.5133,0.0415,0.0644,0.0947
2023,NYJ,0,-0.1066,-1.1777,0.4606,0.6039,0.4355,0.9028,0.8425,0.4756,0.2209,6.0571,0.3781,0.0215,0.0358,0.0305
2023,PHI,2,3.1082,1.0374,0.0525,0.7241,0.4463,0.9525,0.945,0.4082,0.3125,8.117,0.2474,0.1612,0.0915,0.1574
2023,PIT,3,-0.2608,-0.1747,0.3457,0.7099,0.4938,0.9023,0.7925,0.4521,0.4545,6.9967,0.5247,0.0292,0.0725,0.0355
2023,SEA,4,0.7659,-1.1597,0.3282,0.5681,0.4068,0.878,0.8446,0.3887,0.2719,6.3915,0.469,0.0154,0.0387,0.1115
2023,SF,0,-2.1078,-0.9365,0.3826,0.7963,0.4488,0.9554,0.8057,0.5075,0.3333,8.2866,0.7201,0.0575,0.0187,0.0078
2023,TB,4,1.0256,-0.6092,0.2782,0.6722,0.423,0.8626,0.8803,0.3764,0.3274,7.8254,0.4677,0.0194,0.0511,0.0406
2023,TEN,1,-0.7617,1.6362,0.42,0.5008,0.4779,0.8071,0.816,0.4526,0.2273,8.6143,0.3788,0.3249,0.038,0.0301
2023,WAS,4,2.3625,-1.1267,0.192,0.6746,0.3807,0.6789,0.8255,0.4444,0.2099,6.745,0.4095,0.0164,0.0658,0.0091
2024,ARI,0,-0.5687,0.0801,0.3028,0.443,0.4449,0.8793,0.8062,0.5094,0.3434,6.7409,0.3832,0.0336,0.0093,0.0561
2024,ATL,0,-2.0569,-0.4081,0.1986,0.8729,0.4671,0.8943,0.6749,0.7683,0.2029,7.3634,0.6871,0.0086,0.02,0.1286
2024,BAL,1,-1.1097,1.7551,0.2718,0.4752,0.5222,0.9501,0.8629,0.536,0.2268,8.707,0.5026,0.0853,0.0308,0.0342
2024,BUF,3,0.0969,-0.2633,0.3587,0.71,0.4843,0.8418,0.7881,0.392,0.2874,7.48,0.5531,0.0673,0.0673,0.0732
2024,CAR,0,-0.6068,-1.1522,0.4015,0.7361,0.4721,0.9115,0.7516,0.393,0.3878,7.2797,0.4275,0.0019,0.0483,0.0204
2024,CHI,3,0.4568,0.6713,0.3446,0.6855,0.4576,0.8313,0.8227,0.5251,0.4074,6.8952,0.5217,0.049,0.0565,0.2411
2024,CIN,4,1.1495,-2.5679,0.1477,0.5892,0.3308,0.9168,0.8077,0.401,0.2947,6.2607,0.5031,0.0062,0.0492,0.0246
2024,CLE,3,0.6865,-0.0283,0.3074,0.6731,0.4152,0.8217,0.8827,0.4977,0.3039,7.9138,0.47,0.0389,0.0459,0.0583
2024,DAL,0,-0.0317,-1.0197,0.3203,0.6111,0.4316,0.8753,0.83,0.4031,0.4157,6.4618,0.5278,0.0228,0.0294,0.0376
2024,DEN,0,-0.246,-1.1346,0.3626,0.683,0.4471,0.9434,0.7458,0.4403,0.3585,6.6169,0.3929,0.0202,0.0523,0.1046
2024,DET,0,-2.01,0.2526,0.553,0.5389,0.4683,0.9711,0.8976,0.616,0.1712,6.208,0.6272,0.1989,0.0283,0.0406
2024,GB,3,0.5579,0.7538,0.2678,0.6423,0.5375,0.9325,0.9198,0.4562,0.2687,7.0087,0.6723,0.0112,0.0861,0.0468
2024,HOU,1,-1.8397,0.8354,0.4218,0.6224,0.4277,0.8462,0.7991,0.5581,0.453,8.2086,0.5782,0.2891,0.0295,0.0369
2024,IND,3,0.346,1.33,0.124,0.6948,0.5127,0.8598,0.7847,0.447,0.2818,9.3561,0.4595,0.0683,0.0525,0.1065
2024,JAX,3,0.5981,-0.2396,0.3316,0.619,0.478,0.8225,0.7858,0.388,0.2442,7.0185,0.3845,0.0229,0.0441,0.1076
2024,KC,4,1.0459,-1.4175,0.227,0.4994,0.4184,0.9061,0.8542,0.3221,0.2538,6.4862,0.6086,0.0037,0.0712,0.0012
2024,LA,0,-1.377,-1.5767,0.5189,0.8196,0.4476,0.9012,0.8889,0.4244,0.3197,6.7805,0.7874,0.0196,0.0098,0.0531
2024,LAC,0,-0.5975,-1.1964,0.3184,0.7712,0.4322,0.8723,0.81,0.488,0.1719,7.8323,0.5456,0.0191,0.016,0.0256
2024,LV,0,-0.469,-1.252,0.3284,0.4745,0.4393,0.9111,0.7941,0.32,0.3762,6.3968,0.6207,0.023,0.0361,0.0361
2024,MIA,0,-1.765,-0.8206,0.2611,0.5862,0.4713,0.8917,0.738,0.583,0.3137,5.6918,0.7898,0.0181,0.0263,0.0361
2024,MIN,0,-2.0095,-1.272,0.4754,0.6637,0.3937,0.9611,0.7242,0.4774,0.3333,8.5209,0.5405,0.0351,0.0282,0.1056
2024,NE,0,-0.7873,-0.6416,0.3702,0.5488,0.4788,0.9555,0.7825,0.435,0.4079,6.1984,0.4972,0.0184,0.0479,0.0405
2024,NO,1,-2.7735,1.5788,0.4945,0.428,0.4852,0.9425,0.8181,0.664,0.5195,7.7578,0.5277,0.0517,0.0221,0.0443
2024,NYG,3,0.5525,-0.6056,0.346,0.6988,0.4742,0.9149,0.8744,0.4264,0.2959,5.9819,0.5043,0.0687,0.0534,0.0809
2024,NYJ,0,-0.4809,-1.1973,0.2888,0.6661,0.4022,0.9416,0.793,0.5976,0.2946,6.546,0.5109,0.0016,0.0435,0.059
2024,PHI,5,0.7408,3.0471,0.1293,0.6677,0.5323,0.8435,0.83,0.4469,0.4286,7.5018,0.4887,0.4331,0.0496,0.2947
2024,PIT,1,-0.6191,1.3654,0.447,0.4885,0.4847,0.8406,0.8123,0.5138,0.3839,7.2876,0.4562,0.0399,0.0307,0.2212
2024,SEA,4,1.0987,-1.5397,0.2547,0.7453,0.4079,0.9059,0.8162,0.3739,0.2118,6.8538,0.5009,0.0258,0.0465,0.1756
2024,SF,0,-1.9483,-0.2973,0.4231,0.7154,0.4687,0.9049,0.8494,0.4751,0.3026,8.253,0.7419,0.0797,0.0114,0.0114
2024,TB,0,-1.2131,-0.9719,0.3875,0.6656,0.4727,0.9044,0.805,0.5351,0.2326,6.1869,0.5812,0.014,0.0203,0.0156
2024,TEN,3,0.4568,-0.0039,0.311,0.6311,0.4964,0.8068,0.8794,0.4664,0.2151,6.375,0.5208,0.0271,0.0344,0.0127
2024,WAS,5,3.2777,3.144,0.0618,0.5676,0.4485,0.8184,0.8859,0.5504,0.3551,6.9083,0.4794,0.0779,0.0662,0.6853
2025,ARI,0,-1.1762,-0.9539,0.3779,0.4574,0.3798,0.9271,0.8157,0.5795,0.3636,6.2882,0.5136,0.0213,0.0174,0.0388
2025,ATL,0,-1.7503,0.1514,0.2126,0.4205,0.4497,0.9328,0.7098,0.638,0.2283,7.1713,0.7307,0.0047,0.0488,0.0976
2025,BAL,1,-1.6752,2.0736,0.3618,0.4891,0.5291,0.9296,0.8167,0.5314,0.2609,7.696,0.5691,0.3836,0.0582,0.0218
2025,BUF,0,-0.9385,-0.3436,0.4782,0.6902,0.485,0.9507,0.8377,0.4479,0.3661,7.2769,0.6662,0.0465,0.0782,0.0406
2025,CAR,3,0.552,-0.4459,0.3744,0.6177,0.4779,0.8871,0.8093,0.3913,0.54,6.1528,0.534,0.0079,0.1074,0.0158
2025,CHI,1,-1.2642,1.0731,0.5272,0.5109,0.481,0.8325,0.879,0.5047,0.4258,7.9554,0.6223,0.0408,0.0462,0.0272
2025,CIN,4,1.7544,-2.2972,0.2059,0.628,0.3685,0.9345,0.8433,0.335,0.2464,6.5549,0.5848,0.0121,0.1038,0.0052
2025,CLE,0,-0.7088,0.2139,0.4046,0.4921,0.4886,0.956,0.8738,0.4125,0.375,5.3059,0.5692,0.2837,0.0438,0.042
2025,DAL,0,-0.4848,-1.0832,0.4123,0.6809,0.4299,0.9284,0.8577,0.4324,0.376,7.0525,0.6461,0.0094,0.0506,0.049
2025,DEN,3,0.1076,-0.2842,0.3491,0.6851,0.4046,0.934,0.7944,0.5395,0.4545,6.5763,0.5441,0.1818,0.1001,0.1278
2025,DET,0,-1.9517,-0.4442,0.5407,0.5576,0.4525,0.8903,0.7935,0.5462,0.2059,6.3878,0.6458,0.1559,0.0356,0.0458
2025,GB,3,0.4298,1.5166,0.3911,0.5941,0.4859,0.8932,0.934,0.5017,0.3636,8.628,0.5941,0.0237,0.1022,0.0667
2025,HOU,0,-0.7042,-1.0979,0.3966,0.7475,0.4353,0.8455,0.8129,0.3688,0.4234,7.9751,0.6034,0.0171,0.0243,0.0228
2025,IND,2,2.4118,0.2833,0.2816,0.6128,0.4418,0.7144,0.9116,0.3608,0.2705,7.6442,0.568,0.0287,0.104,0.0368
2025,JAX,0,-1.0396,-0.8273,0.3837,0.6844,0.4319,0.9648,0.8315,0.4519,0.2796,8.183,0.6362,0.0349,0.0415,0.0581
2025,KC,2,2.6833,-0.096,0.2179,0.5552,0.4281,0.8087,0.8705,0.4303,0.369,6.5367,0.5098,0.003,0.1498,0.0061
2025,LA,0,-2.988,-1.4274,0.6029,0.6136,0.3904,0.9282,0.7538,0.4542,0.3354,8.8295,0.6604,0.0053,0.0027,0.0588
2025,LAC,0,-0.4516,-1.3724,0.3267,0.7479,0.4279,0.9498,0.8701,0.442,0.3689,7.0754,0.5821,0.0166,0.0249,0.01
2025,LV,0,-0.5947,-1.5412,0.4132,0.5132,0.434,0.8841,0.7689,0.344,0.2913,6.2863,0.5849,0.0189,0.0377,0.0528
2025,MIA,3,-0.456,0.6669,0.305,0.5872,0.4679,0.8314,0.8707,0.6313,0.3647,6.7925,0.7431,0.0115,0.0665,0.0206
2025,MIN,0,-1.0807,-0.1017,0.5009,0.6141,0.4657,0.9123,0.8277,0.5219,0.3267,7.2724,0.5659,0.0204,0.0594,0.0538
2025,NE,0,-1.8086,-0.6461,0.4369,0.6352,0.4385,0.9625,0.8096,0.4307,0.3119,9.042,0.5368,0.0235,0.0166,0.0097
2025,NO,3,0.9058,0.2574,0.2596,0.7055,0.4642,0.9246,0.8691,0.3867,0.5,6.7719,0.6572,0.0932,0.0782,0.2146
2025,NYG,5,1.9825,2.8137,0.2712,0.5092,0.5,0.8673,0.8885,0.4928,0.3838,7.8556,0.3877,0.1711,0.1331,0.2213
2025,NYJ,1,0.0568,2.6139,0.3363,0.6772,0.5688,0.8656,0.9044,0.44,0.4906,7.0952,0.6998,0.4086,0.1129,0.0406
2025,PHI,3,0.9081,1.5801,0.232,0.6313,0.4762,0.8961,0.8835,0.4804,0.4444,8.2233,0.5038,0.0538,0.0707,0.2043
2025,PIT,3,0.5217,-0.092,0.3521,0.4817,0.4192,0.7646,0.8091,0.5338,0.4111,5.9054,0.5991,0.0,0.0808,0.0732
2025,SEA,1,-2.4058,0.6885,0.5573,0.4684,0.4761,0.9407,0.8207,0.5,0.4945,8.1844,0.5863,0.0034,0.0291,0.0598
2025,SF,0,-1.856,-0.5595,0.4845,0.823,0.4488,0.9038,0.8688,0.4532,0.2925,7.1774,0.7314,0.337,0.0093,0.0311
2025,TB,0,-0.4699,-0.2914,0.3881,0.6575,0.4871,0.9406,0.8109,0.4296,0.4,7.2787,0.6545,0.003,0.0883,0.0518
2025,TEN,3,0.5996,-0.1682,0.3627,0.633,0.4592,0.953,0.8515,0.495,0.4416,6.6473,0.5322,0.0107,0.1223,0.03
2025,WAS,5,1.3832,3.3407,0.1477,0.5606,0.517,0.9334,0.8461,0.4831,0.3146,8.5065,0.6212,0.0473,0.0682,0.6269
