season,team,rush_n,pct_end,pct_tackle,pct_guard,pct_middle,dropback_n,pa_rate,cluster
2022,BAL,302,0.2649006622516556,0.2582781456953642,0.314569536423841,0.162251655629139,369,0.2737127371273712,0
2022,CAR,258,0.1550387596899224,0.251937984496124,0.2713178294573643,0.3217054263565891,269,0.3382899628252788,0
2022,CLE,301,0.2093023255813953,0.3986710963455149,0.3255813953488372,0.0664451827242525,342,0.2426900584795321,0
2022,HOU,287,0.229965156794425,0.2404181184668989,0.2473867595818815,0.2822299651567944,332,0.3042168674698795,0
2022,LAC,247,0.2105263157894736,0.291497975708502,0.3036437246963562,0.194331983805668,470,0.3276595744680851,0
2022,MIA,249,0.2730923694779116,0.2329317269076305,0.2570281124497992,0.2369477911646586,385,0.348051948051948,0
2022,SEA,241,0.1991701244813278,0.2655601659751037,0.3153526970954357,0.2199170124481327,404,0.2747524752475248,0
2022,TEN,282,0.2588652482269503,0.2659574468085106,0.2411347517730496,0.2340425531914893,299,0.3076923076923077,0
2023,CLE,263,0.2205323193916349,0.2965779467680608,0.3460076045627376,0.1368821292775665,388,0.2628865979381443,0
2023,GB,287,0.2125435540069686,0.2613240418118467,0.2961672473867596,0.229965156794425,377,0.2917771883289125,0
2023,HOU,274,0.2262773722627737,0.2627737226277372,0.2591240875912409,0.2518248175182482,375,0.2906666666666667,0
2023,IND,274,0.1532846715328467,0.2445255474452554,0.2007299270072992,0.4014598540145985,370,0.2594594594594595,0
2023,NYJ,225,0.2222222222222222,0.2533333333333333,0.2577777777777778,0.2666666666666666,328,0.2621951219512195,0
2023,SEA,247,0.1983805668016194,0.1902834008097166,0.3076923076923077,0.3036437246963562,401,0.28428927680798,0
2023,TB,263,0.155893536121673,0.2205323193916349,0.247148288973384,0.376425855513308,405,0.2839506172839506,0
2023,TEN,285,0.231578947368421,0.2210526315789473,0.2666666666666666,0.2807017543859649,345,0.3188405797101449,0
2024,CAR,229,0.1659388646288209,0.2270742358078602,0.296943231441048,0.3100436681222707,309,0.3171521035598705,0
2024,CLE,217,0.2027649769585253,0.2949308755760368,0.3087557603686636,0.1935483870967742,348,0.293103448275862,0
2024,DEN,243,0.2222222222222222,0.2181069958847736,0.3621399176954732,0.1975308641975308,352,0.3011363636363636,0
2024,IND,302,0.1986754966887417,0.2483443708609271,0.23841059602649,0.314569536423841,321,0.3426791277258567,0
2024,LA,311,0.1897106109324758,0.2347266881028939,0.2508038585209003,0.3247588424437299,400,0.3675,0
2024,LAC,250,0.224,0.264,0.232,0.28,374,0.3422459893048128,0
2024,NYG,258,0.1589147286821705,0.2674418604651162,0.3333333333333333,0.2403100775193798,324,0.3024691358024691,0
2024,PIT,290,0.2,0.3137931034482759,0.3,0.1862068965517241,359,0.3119777158774373,0
2024,TEN,253,0.2569169960474308,0.2094861660079051,0.2648221343873518,0.2687747035573122,297,0.3131313131313131,0
2025,BAL,271,0.2472324723247232,0.2841328413284132,0.2988929889298893,0.1697416974169741,278,0.2482014388489208,0
2025,BUF,288,0.1805555555555555,0.2673611111111111,0.2847222222222222,0.2673611111111111,376,0.2978723404255319,0
2025,CAR,276,0.1847826086956521,0.2065217391304347,0.3007246376811594,0.3079710144927536,355,0.2816901408450704,0
2025,CHI,319,0.219435736677116,0.2852664576802508,0.3166144200626959,0.1786833855799373,409,0.3789731051344743,0
2025,CLE,257,0.1906614785992217,0.2217898832684824,0.3151750972762646,0.2723735408560311,313,0.3067092651757188,0
2025,DAL,259,0.1737451737451737,0.2586872586872586,0.2471042471042471,0.3204633204633205,373,0.3351206434316354,0
2025,IND,255,0.1686274509803921,0.192156862745098,0.2039215686274509,0.4352941176470588,368,0.3315217391304347,0
2025,LA,284,0.1584507042253521,0.2957746478873239,0.2535211267605634,0.2922535211267605,462,0.3484848484848485,0
2025,LAC,224,0.1919642857142857,0.25,0.2455357142857142,0.3125,378,0.2724867724867725,0
2025,LV,218,0.1513761467889908,0.1926605504587156,0.3761467889908257,0.2798165137614679,311,0.3311897106109325,0
2025,NYG,276,0.1557971014492753,0.3369565217391304,0.2536231884057971,0.2536231884057971,325,0.3046153846153846,0
2025,PHI,281,0.2348754448398576,0.2455516014234875,0.3131672597864768,0.2064056939501779,369,0.2682926829268293,0
2025,TEN,200,0.225,0.27,0.26,0.245,265,0.290566037735849,0
2025,WAS,236,0.2161016949152542,0.2669491525423729,0.2923728813559322,0.2245762711864407,290,0.3068965517241379,0
2022,ARI,240,0.2083333333333333,0.2125,0.1708333333333333,0.4083333333333333,373,0.195710455764075,1
2022,BUF,238,0.2773109243697479,0.1890756302521008,0.2731092436974789,0.2605042016806723,455,0.2241758241758241,1
